item_category_id,super_category,category
0,1,32
1,2,12
2,2,13
3,2,14
4,2,16
5,2,17
6,2,19
7,2,20
8,0,29
9,0,36
10,3,12
11,3,13
12,3,14
13,3,16
14,3,17
15,3,19
16,3,20
17,3,53
18,4,12
19,4,13
20,4,14
21,4,16
22,4,17
23,4,19
24,4,20
25,4,21
26,5,63
27,6,63
28,7,35
29,7,39
30,7,57
31,7,63
32,0,37
33,8,8
34,8,9
35,8,15
36,8,18
37,9,2
38,9,3
39,9,4
40,9,7
41,9,38
42,10,22
43,10,24
44,10,26
45,10,25
46,10,27
47,10,40
48,10,41
49,10,42
50,10,49
51,10,52
52,10,54
53,10,62
54,10,63
55,11,5
56,11,6
57,11,11
58,11,30
59,11,43
60,11,51
61,12,23
62,12,31
63,12,44
64,12,45
65,12,46
66,12,50
67,12,55
68,12,56
69,12,58
70,12,59
71,12,60
72,12,61
73,13,1
74,13,10
75,13,33
76,13,34
77,13,47
78,13,48
79,14,0
80,14,28
81,0,64
82,0,65
83,0,66
